<a href='https://www.MadisonAster.com/Favorites'>Agisoft Photoscan</a>,2016,<span style='color:#00FF007f;'>50%</span>
<a href='https://www.MadisonAster.com/Favorites'>Arnold</a>,2016,<span style='color:#00FF0026;'>15%</span>
<a href='https://www.MadisonAster.com/Favorites'>Houdini</a>,2016,<span style='color:#00FF003f;'>25%</span>
<a href='https://www.MadisonAster.com/Favorites'>Patent Authoring</a>,2016,<span style='color:#00FF0026;'>15%</span>
<a href='https://www.MadisonAster.com/Favorites'>WebGL</a>,2017,<span style='color:#00FF0059;'>35%</span>
<a href='https://www.MadisonAster.com/Favorites'>RealityCapture</a>,2017,<span style='color:#00FF0019;'>10%</span>
<a href='https://www.MadisonAster.com/Favorites'>ZBrush</a>,2017,<span style='color:#00FF0033;'>20%</span>
<a href='https://www.MadisonAster.com/Favorites'>Vulkan</a>,2018,<span style='color:#00FF0019;'>10%</span>
<a href='https://www.MadisonAster.com/Favorites'>Tensorflow</a>,2018,<span style='color:#00FF0026;'>15%</span>
<a href='https://www.MadisonAster.com/Favorites'>Alias</a>,2018,<span style='color:#00FF0019;'>10%</span>
<a href='https://www.MadisonAster.com/Favorites'>Kubernetes</a>,2019,<span style='color:#00FF0026;'>15%</span>
<a href='https://www.MadisonAster.com/Favorites'>Docker</a>,2019,<span style='color:#00FF0026;'>15%</span>
<a href='https://www.MadisonAster.com/Favorites'>Smart Sheets</a>,2019,<span style='color:#00FF0099;'>60%</span>
