<a href='https://www.MadisonAster.com/Favorites'>Windows</a>,1995,<span style='color:#00FF00cc;'>80%</span>
<a href='https://www.MadisonAster.com/Favorites'>Photoshop</a>,2001,<span style='color:#00FF00cc;'>80%</span>
<a href='https://www.MadisonAster.com/Favorites'>Premier</a>,2001,<span style='color:#00FF007f;'>50%</span>
<a href='https://www.MadisonAster.com/Favorites'>Excel</a>,2001,<span style='color:#00FF00b2;'>70%</span>
<a href='https://www.MadisonAster.com/Favorites'>HTML</a>,2002,<span style='color:#00FF00b2;'>70%</span>
<a href='https://www.MadisonAster.com/Favorites'>Javascript</a>,2002,<span style='color:#00FF00cc;'>80%</span>
<a href='https://www.MadisonAster.com/Favorites'>CSS</a>,2002,<span style='color:#00FF0066;'>40%</span>
<a href='https://www.MadisonAster.com/Favorites'>After Effects</a>,2002,<span style='color:#00FF007f;'>50%</span>
<a href='https://www.MadisonAster.com/Favorites'>LightWave 3D</a>,2003,<span style='color:#00FF008c;'>55%</span>
<a href='https://www.MadisonAster.com/Favorites'>Blender</a>,2003,<span style='color:#00FF004c;'>30%</span>
<a href='https://www.MadisonAster.com/Favorites'>Flash</a>,2004,<span style='color:#00FF004c;'>30%</span>
<a href='https://www.MadisonAster.com/Favorites'>Access</a>,2004,<span style='color:#00FF0066;'>40%</span>
<a href='https://www.MadisonAster.com/Favorites'>x86 Assembly</a>,2005,<span style='color:#00FF0026;'>15%</span>
<a href='https://www.MadisonAster.com/Favorites'>CCNA</a>,2005,<span style='color:#00FF00b2;'>70%</span>
<a href='https://www.MadisonAster.com/Favorites'>Systems Administration</a>,2005,<span style='color:#00FF00bf;'>75%</span>
<a href='https://www.MadisonAster.com/Favorites'>C++</a>,2006,<span style='color:#00FF0066;'>40%</span>
<a href='https://www.MadisonAster.com/Favorites'>VBA</a>,2006,<span style='color:#00FF0033;'>20%</span>
<a href='https://www.MadisonAster.com/Favorites'>Linux</a>,2006,<span style='color:#00FF004c;'>30%</span>
<a href='https://www.MadisonAster.com/Favorites'>Illustrator</a>,2006,<span style='color:#00FF0099;'>60%</span>
<a href='https://www.MadisonAster.com/Favorites'>Avid</a>,2007,<span style='color:#00FF0072;'>45%</span>
<a href='https://www.MadisonAster.com/Favorites'>Nuke</a>,2008,<span style='color:#00FF00d8;'>85%</span>
<a href='https://www.MadisonAster.com/Favorites'>PHP</a>,2009,<span style='color:#00FF003f;'>25%</span>
<a href='https://www.MadisonAster.com/Favorites'>SQL</a>,2009,<span style='color:#00FF003f;'>25%</span>
<a href='https://www.MadisonAster.com/Favorites'>Syntheyes</a>,2009,<span style='color:#00FF004c;'>30%</span>
<a href='https://www.MadisonAster.com/Favorites'>Boujou</a>,2009,<span style='color:#00FF008c;'>55%</span>
<a href='https://www.MadisonAster.com/Favorites'>PFTrack</a>,2009,<span style='color:#00FF00b2;'>70%</span>
<a href='https://www.MadisonAster.com/Favorites'>RealFlow</a>,2009,<span style='color:#00FF00b2;'>70%</span>
<a href='https://www.MadisonAster.com/Favorites'>Cinema 4D</a>,2009,<span style='color:#00FF0066;'>40%</span>
<a href='https://www.MadisonAster.com/Favorites'>Final Cut Pro</a>,2009,<span style='color:#00FF0066;'>40%</span>
<a href='https://www.MadisonAster.com/Favorites'>ActionScript</a>,2010,<span style='color:#00FF004c;'>30%</span>
<a href='https://www.MadisonAster.com/Favorites'>MentalRay</a>,2010,<span style='color:#00FF0026;'>15%</span>
<a href='https://www.MadisonAster.com/Favorites'>Maya</a>,2010,<span style='color:#00FF007f;'>50%</span>
<a href='https://www.MadisonAster.com/Favorites'>Python</a>,2011,<span style='color:#00FF00f2;'>95%</span>
<a href='https://www.MadisonAster.com/Favorites'>Deadline</a>,2011,<span style='color:#00FF00d8;'>85%</span>
<a href='https://www.MadisonAster.com/Favorites'>Softimage</a>,2011,<span style='color:#00FF0026;'>15%</span>
<a href='https://www.MadisonAster.com/Favorites'>Color Science</a>,2011,<span style='color:#00FF0059;'>35%</span>
<a href='https://www.MadisonAster.com/Favorites'>Nucoda Film Master</a>,2011,<span style='color:#00FF00bf;'>75%</span>
<a href='https://www.MadisonAster.com/Favorites'>Flame</a>,2012,<span style='color:#00FF0066;'>40%</span>
<a href='https://www.MadisonAster.com/Favorites'>Thinstall</a>,2012,<span style='color:#00FF00b2;'>70%</span>
<a href='https://www.MadisonAster.com/Favorites'>Shotgun</a>,2012,<span style='color:#00FF008c;'>55%</span>
<a href='https://www.MadisonAster.com/Favorites'>OpenGL</a>,2013,<span style='color:#00FF0033;'>20%</span>
<a href='https://www.MadisonAster.com/Favorites'>Qt</a>,2013,<span style='color:#00FF00b2;'>70%</span>
<a href='https://www.MadisonAster.com/Favorites'>Git</a>,2013,<span style='color:#00FF00e5;'>90%</span>
<a href='https://www.MadisonAster.com/Favorites'>VRay</a>,2013,<span style='color:#00FF0026;'>15%</span>
<a href='https://www.MadisonAster.com/Favorites'>Mistika</a>,2013,<span style='color:#00FF0059;'>35%</span>
<a href='https://www.MadisonAster.com/Favorites'>LiquidPlanner</a>,2013,<span style='color:#00FF0072;'>45%</span>
<a href='https://www.MadisonAster.com/Favorites'>Java</a>,2014,<span style='color:#00FF0026;'>15%</span>
<a href='https://www.MadisonAster.com/Favorites'>Android</a>,2014,<span style='color:#00FF0019;'>10%</span>
<a href='https://www.MadisonAster.com/Favorites'>Fusion</a>,2014,<span style='color:#00FF003f;'>25%</span>
<a href='https://www.MadisonAster.com/Favorites'>Ffmpeg</a>,2014,<span style='color:#00FF0066;'>40%</span>
<a href='https://www.MadisonAster.com/Favorites'>FileMaker Pro</a>,2014,<span style='color:#00FF00bf;'>75%</span>
<a href='https://www.MadisonAster.com/Favorites'>Raspberry Pi</a>,2015,<span style='color:#00FF0033;'>20%</span>
<a href='https://www.MadisonAster.com/Favorites'>Subversion</a>,2015,<span style='color:#00FF0026;'>15%</span>
<a href='https://www.MadisonAster.com/Favorites'>Unreal</a>,2015,<span style='color:#00FF00bf;'>75%</span>
<a href='https://www.MadisonAster.com/Favorites'>Unity</a>,2015,<span style='color:#00FF0019;'>10%</span>
<a href='https://www.MadisonAster.com/Favorites'>VR</a>,2015,<span style='color:#00FF0099;'>60%</span>
<a href='https://www.MadisonAster.com/Favorites'>Fusion360</a>,2015,<span style='color:#00FF00a5;'>65%</span>
<a href='https://www.MadisonAster.com/Favorites'>Substance Designer</a>,2015,<span style='color:#00FF004c;'>30%</span>
<a href='https://www.MadisonAster.com/Favorites'>3D Printing</a>,2015,<span style='color:#00FF003f;'>25%</span>
<a href='https://www.MadisonAster.com/Favorites'>Project Management</a>,2015,<span style='color:#00FF0033;'>20%</span>
<a href='https://www.MadisonAster.com/Favorites'>LiveCycle</a>,2015,<span style='color:#00FF004c;'>30%</span>
<a href='https://www.MadisonAster.com/Favorites'>Django</a>,2016,<span style='color:#00FF0033;'>20%</span>
